,comments,CleanedText
2648,The material of bag and its quality was very poor.... it's design and other things are nice but ...the quality is much poor than expected ....if i'd have taken from outlet ... should have got proper material,The material of bag and its quality was very poor. it's design and other things are nice but . the quality is much poor than expected . if i'd have taken from outlet . should have got proper material
2649,This is a very good product as expected. It is light weight and is completely waterproof as it made of 100% polyester. It is very attractive too.,This is a very good product as expected. It is light weight and is completely waterproof as it made of 100% polyester. It is very attractive too.
2650,Quentity is very goodTHANKYOU,Quentity is very goodTHANKYOU
2651,Actually this bag very nice and price also,Actually this bag very nice and price also
2652,"Hi, guys I used this bag but I have skybag and I love skybag more than American tourister.. because of the quality material is so thin .","Hi, guys I used this bag but I have skybag and I love skybag more than American tourister. because of the quality material is so thin ."
2653,I think that this bag is specially for travel because it has many storage capacity and it is light weight also love this product,I think that this bag is specially for travel because it has many storage capacity and it is light weight also love this product
2654,Don't buy this one ...white part will year with in a month and it will look like one 1 year old bag...Not at all satisfied,Don't buy this one . white part will year with in a month and it will look like one 1 year old bag. Not at all satisfied
2655,Satisfied water resistansce quality,Satisfied water resistansce quality
2656,Gud,Gud
2657,বেয়া নহয় কিন্তু অলপ ওজনটো কম ।,বেয়া নহয় কিন্তু অলপ ওজনটো কম ।
2658,"Good bag , at this price range👍","Good bag , at this price range👍"
2659,Good product,Good product
2660,Only that bag not provide laptop cover,Only that bag not provide laptop cover
2661,I like this bag very much,I like this bag very much
2662,It is likely by me but there is a problem with the bag ..it is too big,It is likely by me but there is a problem with the bag . it is too big
2663,Quality is good and light in weight.,Quality is good and light in weight.
2664,"The media could not be loaded.
                



 The quality is worse. My personal suggestion that not to buy this bag. In one month the bag looks like it has been years. Worse quality ever","The media could not be loaded.
                



 The quality is worse. My personal suggestion that not to buy this bag. In one month the bag looks like it has been years. Worse quality ever"
2665,,
2666,Need waterproof clothes over it,Need waterproof clothes over it
2667,Superrrr,Superrrr
2668,Nice bag,Nice bag
2669,One of the best bag.. I have purchase in the price of 500 in offer period..,One of the best bag. I have purchase in the price of 500 in offer period.
2670,Good but not smart looking as in photoBut really good bag to use,Good but not smart looking as in photoBut really good bag to use
2671,1,1
2672,Received without any damage. Bag quality also good.,Received without any damage. Bag quality also good.
2673,Nice for travel use,Nice for travel use
2674,"The media could not be loaded.
                



 It's  increasing daily","The media could not be loaded.
                



 It's  increasing daily"
2675,I like this product,I like this product
2676,Light weight,Light weight
2677,Bag is very strong and material is good.,Bag is very strong and material is good.
2678,Good,Good
2679,The bag is so good than the picture,The bag is so good than the picture
2680,No problem But price 800 hota too acha hota,No problem But price 800 hota too acha hota
2681,Very Nice and ergonomically designed to provide an incredible backpack 🎒,Very Nice and ergonomically designed to provide an incredible backpack 🎒
2682,Value for money,Value for money
2683,Look the product looks very good for 2-3 days but it's colour starts fading after that also the material in front of the bag is very cheapIf u want it for school don't purchase it unless u want to take ur entire books to school because there is very much*Space* and its not meant for small size books,Look the product looks very good for 2-3 days but it's colour starts fading after that also the material in front of the bag is very cheapIf u want it for school don't purchase it unless u want to take ur entire books to school because there is very much*Space* and its not meant for small size books
2684,It's chain is really bad.It got wretched.,It's chain is really bad. It got wretched.
2685,Good product,Good product
2686,Only dislike is material thin material used. Durability seems to be less. Otherwise tje product is good n worth for pricing,Only dislike is material thin material used. Durability seems to be less. Otherwise tje product is good n worth for pricing
